;;;;;;
happening-endofdemo-wishlist;;ADD TO WISHLIST ON STEAM;添加至Steam愿望单;#NAME?;스팀에서 찜하기;
happening-error-nomodule;;Place module on the socket;将模块放入插槽;ソケットにモジュールを配置します;모듈을 소켓에 배치하세요;
happening-gameover-discord;;Let me know in the Discord:;在Discord中发表您的看法：;Discordで教えてください:;디스코드에서 알려주세요:;
happening-gameover-heading;;Game Over;游戏结束;ゲームオーバー;게임 오버;
happening-gameover-salvage-header;;Salvage one module;保留一个模块;モジュールを引き継ぐ;모듈 하나를 회수;
happening-gameover-salvage-text;;Place a module in the temporal anchor to salvage it over to your next attempt.;选择一个模块放入时空锚点，下次游戏可继承。;モジュールを時間アンカーに配置して、次の試行に持ち越します。;임시 앵커에 모듈을 배치해 회수하고, 다음 모험에서도 사용할 수 있습니다.;
happening-gameover-text;;Folks, this is getting too dangerous!$br$Transmit a module blueprint and I'll grav.-blast you back in time!;孩子们，这儿太危险了！$br$快把模块蓝图传走，我要用引力爆炸送你们回到过去！;子供たち、これは危険すぎます！$br$モジュールの設計図を送信して、私が重力爆発で過去に戻ります！;친구, 상황이 너무 위험해지고 있어요!$br$모듈 설계도를 전송해주시면 중력 블래스트로 과거로 보내드리겠습니다!;
happening-gameover-unusual;;Did something unusual happen?;发生了什么不寻常的事情吗？;何か変なことが起こりましたか？;이상한 일이 발생했나요?;
happening-healingstation-description;;Heals both characters by $1$;同时治疗两名角色$1$点生命值。;両方のキャラクターを$1$回復します;두 캐릭터를 모두 $1$ 치유합니다;
happening-healingstation-description2;;It has already been used,$br$but somebody must have forgotten to take the potion with them.;此站点已被使用，$br$但使用者似乎忘了取走这个药剂。;すでに使用されていますが、$br$誰かがポーションを持っていないことを忘れているようです。;이미 사용한 흔적이 있지만,$br$누군가 물약을 가져가는 걸 잊어버린 것으로 보입니다.;
happening-healingstation-heading;;Healing Station;治疗站;ヒーリングステーション;치유소;
happening-healingstation-introduction;;You discover a;你发现了一个;あなたは発見しました;당신이 발견한 것은...;
happening-led-goodbye;;GOODBYE;再见;さようなら;안녕히 계세요;
happening-led-inuse;;IN USE;使用中;使用中;사용중;
happening-led-placemodule;;PLACE$br$MODULE;放置$br$模块;モジュールを配置する;모듈$br$배치;
happening-led-ready;;PRESS BUTTON$br$TO USE;点击按钮$br$开始;準備;버튼을 눌러$br$사용;
happening-led-takemodule;;TAKE$br$MODULE;取出$br$模块;モジュールを取る;모듈$br$회수;
happening-modifierupgrader-description;;Only accepts modules of type $passthroughmodule$ without $upgrade$.$br$Gives a module a permanent $upgrade$.;仅接受无$upgrade$的$passthroughmodule$型模块。$br$为目标模块施加一个永久的$upgrade$。;タイプ$passthroughmodule$のモジュールのみを受け入れます。$br$モジュールに永久的な$upgrade$を与えます。;$upgrade$되지 않은 $passthroughmodule$ 유형의 모듈만 허용됩니다.$br$모듈에게 영구적인 $upgrade$을 적용합니다.;
happening-modifierupgrader-description2;;It has already been used, $br$but somebody must have forgotten to take the amplifier with them.;此站点已被使用，$br$但使用者似乎忘了取走这个增幅器。;すでに使用されていますが、$br$誰かがアンプレッサーを持っていないことを忘れているようです。;이미 사용한 흔적이 있지만,$br$누군가 증폭기를 가져가는 걸 잊어버린 것으로 보입니다.;
happening-modifierupgrader-error-nomodule;;Place a modifier on the socket;将模块放入插槽;ソケットに修飾子を配置します;제어기를 소켓에 배치하세요;
happening-modifierupgrader-heading;;Passthrough Upgrader;中继升级器;スループットアップグレーダー;통과 개량기;
happening-modifierupgrader-introduction;;You discover a;你发现了一个;あなたは発見しました;당신이 발견한 것은...;
happening-moduleduplicator-description;;Duplicates a module of your choice;复制所选模块;あなたの選択したモジュールを複製します;선택한 모듈을 복제합니다;
happening-moduleduplicator-error-twomodules;;Place one module to duplicate on the left socket;将所选模块放入左边插槽以复制;左のソケットに複製するモジュールを1つ配置します;왼쪽 소켓에 복제할 모듈 하나를 배치하세요;
happening-moduleduplicator-heading;;Duplication Station;复制站;複製ステーション;복제소;
happening-moduleduplicator-introduction;;You discover a;你发现了一个;あなたは発見しました;당신이 발견한 것은...;
happening-moduledurabilityenhancer-description;;Raises the durability of a module.;提高模块的耐久度。;モジュールの耐久性を高めます。;모듈의 내구성을 향상시킵니다.;
happening-moduledurabilityenhancer-heading;;Durability Enhancer;耐久增强器;耐久性強化剤;내구성 증강기;
happening-moduledurabilityenhancer-introduction;;You discover a;你发现了一个;あなたは発見しました;당신이 발견한 것은...;
happening-moduletransmogrifier-description;;Turns a module into another one of the same level;可将模块转换为同级别的其他模块;モジュールを同じレベルの別のモジュールに変換します;모듈을 동일한 레벨의 다른 모듈로 변화시킵니다.;
happening-moduletransmogrifier-heading;;Transmogrifier;转换器;トランスモグリファイアー;변질기;
happening-moduletransmogrifier-introduction;;You discover a;你发现了一个;あなたは発見しました;당신이 발견한 것은...;
happening-tutorial-slopperjacksonjoin-heading;;Brotherly Reunion;兄弟齐心;兄弟団結;형제의 재회;
happening-tutorial-slopperjacksonjoin-instructions;;Switch over to $slopperjackson$'s rack.$p$Move the $regenerationcell$$br$into the shared backpack.$p$Switch back to $slopperjohnson$$br$and move it into his rack.;切换到$slopperjackson$的模架。$p$将$regenerationcell$$br$拖至共享背包。$p$切换回$slopperjohnson$$br$，并将其移进模架。;$slopperjackson$のラックに切り替えます。$p$$regenerationcell$を共有バックパックに移動します。$p$ $slopperjohnson$に戻り、それを彼のラックに移動します。;$slopperjackson$의 랙으로 전환하세요.$regenerationcell$를 공유 배낭으로$br$이동시키세요.$p$다시 $slopperjohnson$으로 전환한 뒤$br$랙으로 이동시키세요.;
happening-tutorial-slopperjacksonjoin-introduction;;Event;事件;イベント;이벤트;
happening-tutorial-slopperjacksonjoin-speech;;Brother! Wait! You forgot your $regenerationcell$!$br$Isn't it your most important piece of equipment?$br$Let's get rid of those monsters together!;好兄弟！等一下！你忘记带上$regenerationcell$了！$br$这不是你最重要的模块吗？$br$现在让我们一起搞定那些怪物吧！;兄弟！待って！あなたは$regenerationcell$を忘れています！$br$それはあなたの最も重要な装備ではありませんか？$br$一緒にこれらのモンスターを取り除きましょう！;형! 잠깐! $regenerationcell$를 두고 갔잖아!$br$가장 중요한 장비 아니야?$br$같이 저 괴물들을 쓸어버리자고!;
input-description-a;;Select, Connect Wire;选择，连接线路;選択, ワイヤーを接続;선택, 와이어 연결;
input-description-b;;Cancel, Go Back;取消，返回;キャンセル, 戻る;취소, 돌아가기;
input-description-lb;;Select Previous Character;选择上一角色;前のキャラクターを選択;이전 캐릭터 선택;
input-description-rb;;Select Next Chraacter;选择下一角色;次のキャラクターを選択;다음 캐릭터 선택;
input-description-rt;;Fire Rack;运行模组;ラックを発射;랙 시동;
input-description-settings;;Settings;设置;設定;설정;
input-description-x;;Move Module;移动模块;モジュールを移動;모듈 이동;
input-description-y;;Toggle Auto-Tooltips;自动提示开关;オートツールチップの切り替え;자동 툴팁 전환;
jack-status-canbewired;;Can be wired;可连线;接続可能;연결 가능;
jack-status-cannotbewired;;Cannot be wired;无法连线;接続不可;연결 불가;
jack-status-wiredto;;Wired;已连线;接続済み;연결됨;
jack-status-wiring;;<color=yellow>Currently wiring</color>;<color=yellow>当前连线</color>;<color=yellow>接続中</color>;<color=yellow>현재 연결중</color>;
message-battle;;You stumble upon a group of monsters.;你偶然发现了一群怪物。;あなたはモンスターのグループに出くわします。;우연히 몬스터 무리와 마주쳤습니다.;
message-battlewon;;You did it!;你做到了！;成功しました！;해냈군요!;
message-idleworld;;Idle;闲置中;遊休;방치;
message-jackcolorchange;;$COLOR$;$COLOR$;$COLOR$;$COLOR$;
message-notarget;;No target;没有目标;ターゲットなし;대상 없음;
message-notarget-blademodule;;No targets.$br$Targets must be aligned with character on timeline.;没有目标。$br$目标与角色在时间轴上必须对齐。;ターゲットなし$br$ターゲットはタイムライン上のキャラクターと一致する必要があります。;대상이 없습니다.$br$캐릭터와 대상이 동일한 타임라인에 위치해야 합니다.;
message-prompt-readytofire;;Ready for action;准备就绪;行動準備完了;준비 완료;
message-prompt-selectnextmodule;;Select the next module to activate;选择下一个激活的模块;次のアクティブにするモジュールを選択;다음에 활성화할 모듈을 선택하세요;
message-prompt-selecttarget;;Select target for$br$<size=15>$NAME$</size>;为$br$<size=15>$NAME$</size>选择目标;ターゲットを選択$br$<size=15>$NAME$</size>;<size=15>$NAME$</size>의$br$목표를 지정하세요;
message-rackconnect;;Connect the modules you want to activate with wires.;连接想要激活的模块。;ワイヤーでアクティブにしたいモジュールを接続します。;활성화하고 싶은 모듈을 전선으로 연결하세요.;
message-turn-naturaldisaster-gravequilibrium;;The Grav. Equilibrium rolls over the battle field.;战场每隔一段时间就会出现引力均衡。;重力平衡は戦場を襲います。;중력 평형이 전장을 휩씁니다.;
message-turn-naturaldisaster-gravimpulse;;A Grav. Impulse!;引力脉冲来临！;重力の衝撃！;중력 충격!;
message-turn-naturaldisaster-gravspike;;A Grav. Spike!;引力尖刺来临！;重力の尖り！;중력 폭주!;
message-turn-naturaldisaster-lightningstrike;;A lightning strike!;是闪电打击！;雷撃！;천둥 번개!;
message-turn-naturaldisaster-volcano;;An eruption!;爆发了！;噴火！;분출!;
message-unconscious;;$NAME$ becomes unconscious.;$NAME$陷入昏迷。;$NAME$は意識を失います。;$NAME$(은)는 의식을 잃었습니다.;
message-unconscious2;;You can revive them at a shop, back in camp or on the loot screen with enough $plasma$!;可以在商店、营地或战利品界面用等离子体复活角色$plasma$！;あなたは店舗やキャンプで彼らを蘇らせることができます！;$plasma$가 충분하다면, 상점이나 야영지, 전리품 화면에서 부활시킬 수 있습니다!;
modalities-difficulty-0;;<color=#67FF73>-40% enemy HP scaling$br$+1 battle rating handicap$br$+3 storm handicap</color>;<color=#67FF73>-40% 敌人生命值$br$+1 战斗评分特权$br$+3 风暴特权</color>;<color=#67FF73>-40% 敵のHPスケーリング$br$+1 戦闘評価ハンデ$br$+3 ストームハンデ</color>;<color=#67FF73>-40% 적 체력 수치$br$+1 전투 등급 핸디캡$br$+3 폭풍 핸디캡</color>;
modalities-difficulty-1;;;;;;
modalities-difficulty-2;;<color=#FF5555>+35% enemy HP scaling$br$-1 battle rating handicap$br$-1 storm handicap</color>;<color=#FF5555>+35%敌人生命值$br$-1 战斗评分特权$br$-1 风暴特权</color>;<color=#FF5555>+35% 敵のHPスケーリング$br$-1 戦闘評価ハンデ$br$-1 ストームハンデ</color>;<color=#FF5555>+35% 적 체력 수치$br$-1 전투 등급 핸디캡$br$-1 폭풍 핸디캡</color>;
modalities-difficulty-3;;<color=#FF5555>+50% enemy HP scaling$br$-1 battle rating handicap$br$-2 storm handicap$br$Cannot revive from loot screen</color>;<color=#FF5555>+50% 敌人生命值$br$-1 战斗评分特权$br$-2 风暴特权$br$无法在战利品界面复活</color>;<color=#FF5555>+50% 敵のHPスケーリング$br$-1 戦闘評価ハンデ$br$-2 ストームハンデ$br$戦利品画面から復活できません</color>;<color=#FF5555>+50% 적 체력 수치$br$-1 전투 등급 핸디캡$br$-2 폭풍 핸디캡$br$전리품 화면에서 부활할 수 없음</color>;
module-level-0;;Level 0;等级0;レベル 0;레벨 0;
module-level-1;;Level 1;等级1;レベル 1;레벨 1;
module-level-2;;Level 2;等级2;レベル 2;레벨 2;
module-level-3;;Level 3;等级3;レベル 3;레벨 3;
module-level-4;;Level 4;等级4;レベル 4;레벨 4;
module-level-5;;Level 5;等级5;レベル 5;레벨 5;
module-level-6;;Level 6;等级6;レベル 6;레벨 6;
module-level-7;;Level 6;等级6;レベル 6;레벨 6;
module-properties-blade-no-target;;There is currently no enemy on the same time step as the owner;目前没有与拥有者处在同一时间步的敌人;現在、所有者と同じタイムステップに敵がいません;현재 소유자와 같은 시간 단계에 위치한 적이 없습니다;
module-properties-collector-in-backpack;;Does not trigger from backpack;背包内无法触发;バックパックに格納されている場合はトリガーされません;배낭에서는 발동하지 않습니다;
module-properties-description-amplification;;Adds $b$$MODIFICATIONVALUE$ $/b$$energy$ to the incoming current;为输入能量流增加$b$$MODIFICATIONVALUE$$/b$$energy$;現在の$energy$に$b$$MODIFICATIONVALUE$ $/b$$energy$を追加します;획득하는 전류에 $b$$MODIFICATIONVALUE$$/b$ $energy$를 추가합니다.;
module-properties-description-reduction;;Subtracts $b$$MODIFICATIONVALUE$ $/b$$energy$ from the incoming current;从输入能量流减去$b$$MODIFICATIONVALUE$$/b$$energy$;現在の$energy$から$b$$MODIFICATIONVALUE$ $/b$$energy$を引きます;획득하는 전류에 $b$$MODIFICATIONVALUE$ $/b$$energy$를 차감합니다;
module-properties-discharge-endofturn;;Sensors lose all $energy$ at the$br$end of the owner's turn;拥有者回合结束后，$br$传感器失去所有$energy$;センサーは所有者のターン終了時に$energy$をすべて失います;감지기는 소유자의 턴 종료 시 모든 $energy$를 잃습니다;
module-properties-discharge-endofturn-impending;;Will lose $energy$ at the end of turn;回合结束后失去所有$energy$;ターン終了時に$energy$を失います;턴 종료 시 모든 $energy$를 잃습니다;
module-properties-name-amplification;;Amplification $MODIFICATIONVALUE$;放大$MODIFICATIONVALUE$;増幅 $MODIFICATIONVALUE$;증폭 $MODIFICATIONVALUE$;
module-properties-name-reduction;;Dampening $MODIFICATIONVALUE$;减弱$MODIFICATIONVALUE$;ダンピング $MODIFICATIONVALUE$;억제 $MODIFICATIONVALUE$;
module-rarity-common;;Common;普通;一般;일반;
module-rarity-rare;;Rare;稀有;レア;희귀;
module-rarity-uncommon;;Uncommon;罕见;まれ;특별;
module-rarity-unique;;Unique;特殊;ユニーク;유니크;
module-type-factory;;Factory;工厂;ファクトリ;공장;
module-type-generator;;Generator;发生器;ジェネレーター;발전기;
module-type-grenade;;Grenade;榴弹;手榴弾;수류탄;
module-type-kit;;Kit;组件;キット;키트;
module-type-magnet;;Magnet;磁铁;磁気;자석;
module-type-moduleenhancer;;Module Enhancer;模块增强器;モジュールアップグレーダー;모듈 증강기;
module-type-output;;Effector Module;效果模块;エフェクターモジュール;효과 모듈;
module-type-passive;;Passive Module;被动模块;パッシブモジュール;수동 모듈;
module-type-passthrough;;Passthrough Module;中继模块;スループットモジュール;통과 모듈;
module-type-sensor;;Sensor;传感器;センサー;감지기;
module-type-source;;Energy Source;能量源;エネルギー源;에너지원;
module-type-storage;;Storage Module;储存模块;ストレージモジュール;저장 모듈;
module-type-threat;;Threat;威胁;脅威;위협;
module-type-toggled;;Toggled;已打开;スイッチ;전환됨;
module-type-vault;;Vault;库;ボールト;금고;
name-act-1;;Across the$br$Perimeter;穿越$br$边界;周辺を越えて;경계를 넘어;
name-act-2;;The Walled Garden;围墙内的伊甸园;囲まれた庭;벽 안의 정원;
name-backpack;;Backpack;背包;バックパック;배낭;
name-boss-crab;;Crystal Crab;水晶蟹;クリスタルカニ;크리스탈 게;
name-boss-crab-leftclaw;;Left Claw;左钳;左の爪;왼쪽 집게발;
name-boss-crab-rightclaw;;Right Claw;右钳;右の爪;오른쪽 집게발;
name-boss-crocodile;;Boss Crocodile;首领鳄鱼;ボス クロコダイル;우두머리 악어;
name-boss-shroom;;Boss Shroom;首领菇;ボス シュルム;우두머리 버섯;
name-campstructure-campfire;;Campfire;营地;キャンプファイア;캠프파이어;
name-campstructure-gradarbeacon;;Gradar Beacon;格拉达灯塔;重力レーダービーコン;중력파 송신소;
name-campstructure-hangar;;Hangar;机库;ハンガー;격납고;
name-campstructure-powerplant;;Power Plant;发电站;パワープラント;발전소;
name-campstructure-scrapyard;;Scrapyard;废料场;スクラップヤード;폐품 처리장;
name-chapter-caves;;Crystal Caverns;水晶洞穴;水晶洞窟;크리스탈 동굴;
name-chapter-sewers;;The Sewers;下水道;下水道;하수구;
name-chapter-tutorial;;Tutorial;教程;チュートリアル;튜토리얼;
name-difficulty-0;;Beginner;新手;初心者;초보자;
name-difficulty-1;;Normal;普通;ノーマル;보통;
name-difficulty-2;;Hard;困难;ハード;어려움;
name-difficulty-3;;Impossible;疯狂;不可能;불가능;
name-enemy-chronocatpositive;;Chronocat $grav+icon$;时光猫$grav+icon$;クロノキャット $grav+icon$;시간냥이 $grav+icon$;
name-enemy-crow;;Crow;乌鸦;カラス;까마귀;
name-enemy-crustyant;;Crystal Ant;水晶蚂蚁;クリスタル蟻;크리스탈 개미;
name-enemy-fox;;Fox;狐狸;狐;여우;
name-enemy-frog;;Gorf;咕噜;カエル;고프;
name-enemy-gravanemone;;Grav. Anemone;引力海葵;グラヴアネモネ;중력 아네모네;
name-enemy-gravcobra;;Grav. Cobra;引力眼镜蛇;グラヴコブラ;중력 코브라;
name-enemy-gravgnat;;Grav. Gnat;引力蚊蚋;グラヴ蚋;중력 모기;
name-enemy-gravpolyp;;Grav. Polyp;引力水螅;重力ポリップ;중력 용종;
name-enemy-mushroomblue;;Grav.-Shroom $grav+icon$;引力菇$grav+icon$;グラヴキノコ $grav+icon$;중력 버섯 $grav+icon$;
name-enemy-mushroomred;;Toxic Shroom;毒菇;毒キノコ;맹독 버섯;
name-enemy-mushroomyellow;;Grav.-Shroom $grav-icon$;引力菇$grav-icon$;グラヴキノコ $grav-icon$;중력 버섯 $grav-icon$;
name-enemy-protozoon;;Protozoan;单细胞虫;原生動物;기생충;
name-enemy-slime;;Ooze;软泥怪;スライム;점액괴물;
name-enemy-turretbomb;;Bomb Thrower;炸弹投手;爆弾投下者;폭탄 투척기;
name-enemy-wardcrust;;Resonant Crystal;回声水晶;共鳴クリスタル;;
name-enemy-wardgrav;;Grav. Pylon;引力塔架;グラヴパイロン;중력 철탑;
name-happening-chargingstation;;Charging Station;充电站;充電ステーション;충전소;
name-happening-healingstation;;Healing Station;治疗站;ヒーリングステーション;치유소;
name-happening-modifierupgrader;;Passthrough Upgrader;中继升级器;スループットアップグレーダー;통과 개량기;
name-happening-moduleduplicator;;Duplication Station;复制站;複製ステーション;복제소;
name-happening-moduletransmogrifier;;Transmogrifier;转换器;トランスモグリファイアー;변질기;
name-jack-input;;Input Jack;输入接口;入力ジャック;입력 잭;
name-jack-output;;Output Jack;输出接口;出力ジャック;출력 잭;
name-module-accumulator;;Accumulator;蓄电池;蓄电池;축압기;
name-module-amplifier;;Amplifier $MODIFICATIONVALUE$;增幅器$MODIFICATIONVALUE$;増幅器 $MODIFICATIONVALUE$;증폭기 $MODIFICATIONVALUE$;
name-module-collectoraccumulation;;Accumulation Sensor $MODIFICATIONVALUE$;储能传感器$MODIFICATIONVALUE$;蓄電センサー $MODIFICATIONVALUE$;누적 감지기 $MODIFICATIONVALUE$;
name-module-collectorchrono;;Chrono Sensor $MODIFICATIONVALUE$;时序传感器$MODIFICATIONVALUE$;時間センサー $MODIFICATIONVALUE$;시간 감지기 $MODIFICATIONVALUE$;
name-module-collectorfracture;;Fracture Sensor $MODIFICATIONVALUE$;销毁传感器$MODIFICATIONVALUE$;破片センサー $MODIFICATIONVALUE$;균열 감지기 $MODIFICATIONVALUE$;
name-module-collectorgravpos;;Grav. Sensor $grav+icon$ $MODIFICATIONVALUE$;引力传感器$grav+icon$ $MODIFICATIONVALUE$;重力センサー $grav+icon$ $MODIFICATIONVALUE$;중력 감지기 $grav+icon$ $MODIFICATIONVALUE$;
name-module-collectorhealing;;Cure Sensor $MODIFICATIONVALUE$;治疗传感器$MODIFICATIONVALUE$;治癒センサー $MODIFICATIONVALUE$;치유 감지기 $MODIFICATIONVALUE$;
name-module-collectorkill;;Soul Sensor $MODIFICATIONVALUE$;灵魂传感器$MODIFICATIONVALUE$;魂センサー $MODIFICATIONVALUE$;영혼 감지기 $MODIFICATIONVALUE$;
name-module-collectormodulecreation;;Factory Sensor $MODIFICATIONVALUE$;制造传感器$MODIFICATIONVALUE$;工場センサー $MODIFICATIONVALUE$;공장 감지기 $MODIFICATIONVALUE$;
name-module-collectorplasma;;Plasma Sensor $MODIFICATIONVALUE$;等离子传感器$MODIFICATIONVALUE$;プラズマセンサー $MODIFICATIONVALUE$;플라즈마 감지기 $MODIFICATIONVALUE$;
name-module-collectortrauma;;Trauma Sensor $MODIFICATIONVALUE$;创伤传感器$MODIFICATIONVALUE$;創傷センサー $MODIFICATIONVALUE$;트라우마 감지기 $MODIFICATIONVALUE$;
name-module-condensator;;Condensator $MODIFICATIONVALUE$;冷凝器$MODIFICATIONVALUE$;蓄電器 $MODIFICATIONVALUE$;응축기 $MODIFICATIONVALUE$;
name-module-defibrillator;;Defibrillator;起搏器;除細動器;제세동기;
name-module-distributor;;Distributor $MODIFICATIONVALUE$;分配器$MODIFICATIONVALUE$;ディストリビューター $MODIFICATIONVALUE$;배전기 $MODIFICATIONVALUE$;
name-module-effectoraccelerator;;Accelerator $MODIFICATIONVALUE$;加速器$MODIFICATIONVALUE$;加速器 $MODIFICATIONVALUE$;가속기 $MODIFICATIONVALUE$;
name-module-effectorblade;;Blade Module $MODIFICATIONVALUE$;长剑模块$MODIFICATIONVALUE$;ブレードモジュール $MODIFICATIONVALUE$;칼날 모듈 $MODIFICATIONVALUE$;
name-module-effectorblaster;;Blaster $MODIFICATIONVALUE$;爆能枪$MODIFICATIONVALUE$;ブラスター $MODIFICATIONVALUE$;블래스터 $MODIFICATIONVALUE$;
name-module-effectordecelerator;;Decelerator $MODIFICATIONVALUE$;减速器$MODIFICATIONVALUE$;減速器 $MODIFICATIONVALUE$;감속기 $MODIFICATIONVALUE$;
name-module-effectordeceleratorgatling;;Gatling Decelerator $MODIFICATIONVALUE$;加特林减速器$MODIFICATIONVALUE$;ガトリングガン減速器 $MODIFICATIONVALUE$;개틀링 감속기 $MODIFICATIONVALUE$;
name-module-effectordeceleratormelee;;Melee Decelerator $MODIFICATIONVALUE$;群体减速器$MODIFICATIONVALUE$;近接減速器 $MODIFICATIONVALUE$;근접 감속기 $MODIFICATIONVALUE$;
name-module-effectordeceleratorprecision;;Precision Decelerator $MODIFICATIONVALUE$;精准减速器$MODIFICATIONVALUE$;精密減速器 $MODIFICATIONVALUE$;정밀 감속기 $MODIFICATIONVALUE$;
name-module-effectorgatlinggun;;Gatling Gun $MODIFICATIONVALUE$;加特林机枪$MODIFICATIONVALUE$;ガトリングガン $MODIFICATIONVALUE$;개틀링 건 $MODIFICATIONVALUE$;
name-module-effectorplasmaconverter;;Plasma Converter;等离子转换器;プラズマコンバーター;플라즈마 변환기;
name-module-effectorpotion;;Healing Potion $MODIFICATIONVALUE$;治疗药剂$MODIFICATIONVALUE$;回復ポーション $MODIFICATIONVALUE$;치유 물약 $MODIFICATIONVALUE$;
name-module-effectorpotion-aoe;;Revitalizing Screen $MODIFICATIONVALUE$;焕活屏障$MODIFICATIONVALUE$;回復ポーション $MODIFICATIONVALUE$;회복 차단막 $MODIFICATIONVALUE$;
name-module-effectorshield;;Shield Module $MODIFICATIONVALUE$;护盾模块$MODIFICATIONVALUE$;シールドモジュール $MODIFICATIONVALUE$;방어막 모듈 $MODIFICATIONVALUE$;
name-module-effectorshield-aoe;;Protective Screen $MODIFICATIONVALUE$;防护屏障$MODIFICATIONVALUE$;シールドスクリーン $MODIFICATIONVALUE$;방어 차단막 $MODIFICATIONVALUE$;
name-module-effectorvulnerability;;Vuln. Module $MODIFICATIONVALUE$;虚弱模块$MODIFICATIONVALUE$;脆弱性モジュール $MODIFICATIONVALUE$;취약 모듈 $MODIFICATIONVALUE$;
name-module-factorypotion;;Potion Factory $MODIFICATIONVALUE$;药剂工厂$MODIFICATIONVALUE$;ポーション工場 $MODIFICATIONVALUE$;물약 공장 $MODIFICATIONVALUE$;
name-module-factorystoragecell;;Storage Cell Factory $MODIFICATIONVALUE$;储存单元工厂$MODIFICATIONVALUE$;ストレージセル工場 $MODIFICATIONVALUE$;축전지 공장 $MODIFICATIONVALUE$;
name-module-generator;;Generator;发生器;ジェネレーター;발전기;
name-module-generatordecelerating;;Grav. Generator;引力发生器;重力ジェネレーター;중력 발전기;
name-module-generatordirty;;Dirty Generator;污染发生器;汚いジェネレーター;불법 발전기;
name-module-generatordual;;Dual Generator;双路发生器;ダブルジェネレーター;이중 발전기;
name-module-generatoroverload;;Overload Generator;超载发生器;過負荷ジェネレーター;과부하 발전기;
name-module-magnetgravpos;;Grav. Magnet $grav+icon$+;引力磁铁$grav+icon$+;重力磁石 $grav+icon$;중력 자석 $grav+icon$+;
name-module-merger;;Merger $MODIFICATIONVALUE$;合流器$MODIFICATIONVALUE$;合併 $MODIFICATIONVALUE$;병합기 $MODIFICATIONVALUE$;
name-module-modifier;;Converter;转换器;変換器;변환기;
name-module-modifiercollector;;Sensor Amplifier $MODIFICATIONVALUE$;传感增幅器$MODIFICATIONVALUE$;センサーアンプ $MODIFICATIONVALUE$;감지 증폭기 $MODIFICATIONVALUE$;
name-module-modifierconditionaldeceleration;;Conditional Amp. $MODIFICATIONVALUE$: Deceleration;条件增幅器$MODIFICATIONVALUE$：减速;条件付き増幅器 $MODIFICATIONVALUE$: 減速;조건부 증폭. $MODIFICATIONVALUE$: 감속;
name-module-modifierconditionaltrauma;;Conditional Amp. $MODIFICATIONVALUE$: Trauma;条件增幅器$MODIFICATIONVALUE$：创伤;条件付き増幅器 $MODIFICATIONVALUE$: 創傷;조건부 증폭. $MODIFICATIONVALUE$: 트라우마;
name-module-modifierdecelerating;;Recoil Amplifier $MODIFICATIONVALUE$;反冲增幅器$MODIFICATIONVALUE$;反動増幅器 $MODIFICATIONVALUE$;반동 증폭기 $MODIFICATIONVALUE$;
name-module-modifierplasmacombustion;;Plasma-Combusting Amplifier $MODIFICATIONVALUE$;等离子燃烧增幅器$MODIFICATIONVALUE$;プラズマ燃焼増幅器 $MODIFICATIONVALUE$;플라즈마 연소 증폭기 $MODIFICATIONVALUE$;
name-module-passivegeneratorroll;;Compressor;压缩器;コンプレッサー;압축기;
name-module-passivemedikit;;Med-Kit;急救包;メディキット;의료 키트;
name-module-splitter;;Splitter $MODIFICATIONVALUE$;分割器$MODIFICATIONVALUE$;分離器 $MODIFICATIONVALUE$;분할기 $MODIFICATIONVALUE$;
name-module-storagecell;;Storage Cell;储存单元;电池;축전지;
name-module-storagecellreplicating;;Replicating Storage Cell;复制储存单元;複製電池;복제 축전지;
name-module-storagecellselfcharging;;Aeolian Cell;风蚀单元;風力电池;풍력 전지;
name-module-timebomb;;Time Bomb;定时炸弹;タイムボム;시한폭탄;
name-module-toggledbooster-eot;;Passthrough Booster;中继增强器;スループットブースター;통과 승압기;
name-module-toggledcrustremover;;Decrusting Kit;脱壳组件;除錆キット;크러스트 제거 키트;
name-module-toggleddurabilityenhancer;;Durability Enhancer;耐久增强器;耐久性向上剤;내구성 증강기;
name-module-toggledgrenadegravnullifier;;Grav. Neutralizer;引力中和器;重力中和剤;중력 상쇄기;
name-module-toggledgrenadevulnerability;;Vulnerability Grenade;虚弱榴弹;バリアブルヌルファイアー;취약성 수류탄;
name-module-toggledmaxhpenhancer;;Health Enhancer;生命增强器;ヘルスエンハンサー;체력 증강기;
name-module-toggledupgrader;;Passthrough Upgrader;中继升级器;スループットアップグレーダー;통과 개량기;
name-module-trashcompactor;;Trash Compactor;垃圾压缩机;ゴミ圧縮機;쓰레기 압착기;
name-module-vaultregeneration;;Regeneration Cell $MODIFICATIONVALUE$;再生单元$MODIFICATIONVALUE$;再生電池 $MODIFICATIONVALUE$;재생 전지 $MODIFICATIONVALUE$;
name-module-vaultshield;;Shield Cell $MODIFICATIONVALUE$;护盾单元$MODIFICATIONVALUE$;シールドセル $MODIFICATIONVALUE$;방어막 전지 $MODIFICATIONVALUE$;
name-naturaldisaster-gravequilibrium;;Grav. Equilibrium;引力均衡;重力均衡;중력 평형;
name-naturaldisaster-gravimpulse;;Grav. Impulse;引力脉冲;重力衝撃;중력 충격;
name-naturaldisaster-lightningstrike;;Lightning;闪电;雷;번개;
name-naturaldisaster-storm;;Storm;风暴;嵐;폭풍;
name-playercharacter-kimmy;;Kimmy;吉米;キミー;키미;
